,UID,Type,Est,Latitude,Longitude,ChainName,Name,Address,City,St,Zip,Phone,Web,Directions,Cat,County,RecordID,Elev,trail,hike,AmenitiesExtra,Comments,brand,CatName,PushPin,bIcon,Keyfilter,Pin
0,100749,Pro,425,34.983726,-86.851996,Low Clearance,Low Clearance,Highway 53,Ardmore,AL,35739,,,,LC11,,,,,,,Height not marked but it is believed to be 11 ft (136),low-clearance,,low_11_pushpin,"<\/div>', LC11Icon)",-136%,low_11_0_pushpin
1,100750,Pro,427,34.992213,-86.847168,Low Clearance,Low Clearance,"Old US 31, Hwy 7 near junction with 53",Ardmore,AL,38449,,,,LC13,,,,,,,13 - 6 height clearance,low-clearance,,low_13_pushpin,"<\/div>', LC13Icon)",,low_13_6_pushpin
1,100758,Pro,424,34.797197,-86.970228,Low Clearance,Low Clearance,315 E Forrest St,Athens,AL,35611,,,,LC10,,,,,,,10 - 0 height clearance (136),low-clearance,,low_10_pushpin,"<\/div>', LC10Icon)",-136%,low_10_0_pushpin
1,100770,Pro,427,34.018626,-86.085077,Low Clearance,Low Clearance,200-208 Cleveland Ave,Attalla,AL,35954,,,,LC13,,,,,,,13 - 7 height clearance,low-clearance,,low_13_pushpin,"<\/div>', LC13Icon)",,low_13_7_pushpin
1,100771,Pro,427,34.02112,-86.08751,Low Clearance,Low Clearance,5th Ave NW,Attalla,AL,35954,,,,LC13,,,,,,,13 - 8 height clearance,low-clearance,,low_13_pushpin,"<\/div>', LC13Icon)",,low_13_8_pushpin
1,100772,Pro,428,34.021138,-86.087532,Low Clearance,Low Clearance,125-213 Alabama 1,Attalla,AL,35954,,,,LC14,,,,,,,14 - 1 height clearance,low-clearance,,low_14_pushpin,"<\/div>', LC14Icon)",,low_14_1_pushpin
1,100783,Pro,424,33.404141,-86.947685,Low Clearance,Low Clearance,1-5 22nd St N,Bessemer,AL,35020,,,,LC10,,,,,,,10 - 0 height clearance (136),low-clearance,,low_10_pushpin,"<\/div>', LC10Icon)",-136%,low_10_0_pushpin
1,100803,Pro,427,33.498408,-86.818729,Low Clearance,Low Clearance,600-698 6th Ave S,Birmingham,AL,35233,,,,LC13,,,,,,,13 - 8 height clearance,low-clearance,,low_13_pushpin,"<\/div>', LC13Icon)",,low_13_8_pushpin
1,100804,Pro,427,33.526227,-86.791145,Low Clearance,Low Clearance,3228-3298 Messer Airport Hwy,Birmingham,AL,35222,,,,LC13,,,,,,,13 - 9 height clearance,low-clearance,,low_13_pushpin,"<\/div>', LC13Icon)",,low_13_9_pushpin
1,100805,Pro,427,33.533206,-86.755713,Low Clearance,Low Clearance,5156 5th Ave S,Birmingham,AL,35212,,,,LC13,,,,,,,13 - 7 height clearance,low-clearance,,low_13_pushpin,"<\/div>', LC13Icon)",,low_13_7_pushpin
