,UID,Type,Est,Latitude,Longitude,ChainName,Name,Address,City,St,Zip,Phone,Web,Directions,Cat,County,RecordID,Elev,trail,hike,AmenitiesExtra,Comments,brand,CatName,PushPin,bIcon,Keyfilter,Pin
0,200000,Off,435,33.892676,-84.299725,Low Clearance,Low Clearance,rail over Chamblee Dunwoody Rd,Chamblee,GA,30341,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200001,Off,435,33.886799,-84.308178,Low Clearance,Low Clearance,rail over Chamblee Tucker Rd,Chamblee,GA,30341,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200002,Off,435,33.806628,-84.241603,Low Clearance,Low Clearance,rail over N Indian Creek Dr,Clarkston,GA,30021,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200003,Off,435,33.8029746,-84.2502139,Low Clearance,Low Clearance,rail over The Perimeter\/I-285,Clarkston,GA,30021,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200004,Off,435,33.645403,-84.450928,Low Clearance,Low Clearance,rail over Camp Creek Pkwy,College Park,GA,30337,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200005,Off,435,33.647574,-84.449786,Low Clearance,Low Clearance,rail over Lee St Con,College Park,GA,30337,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200006,ProOnly,435,34.516606,-83.508244,Low Clearance,Low Clearance,rail over Doc Keller Dr,Cornelia,GA,30531,,,,LCX,,,,,,,unmarked low height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200007,Off,435,33.7979575,-84.3064919,Low Clearance,Low Clearance,rail over Clairmont Rd,Decatur,GA,30033,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200008,Off,435,33.765243,-84.311527,Low Clearance,Low Clearance,rail over E Lake Dr,Decatur,GA,30030,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200009,Off,435,33.779518,-84.268076,Low Clearance,Low Clearance,rail over Laredo Dr,Decatur,GA,30030,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200010,Off,435,33.825195,-84.273048,Low Clearance,Low Clearance,rail over Pangborn Rd,Decatur,GA,30033,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200011,Off,435,33.770655,-84.241465,Low Clearance,Low Clearance,rail over Porter Rd,Decatur,GA,30032,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200012,Off,435,33.904932,-84.278018,Low Clearance,Low Clearance,rail over I-285,Doraville,GA,30360,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200013,Off,435,33.908116,-84.273563,Low Clearance,Low Clearance,rail over Longmire Way,Doraville,GA,30340,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200014,Off,435,33.982698,-84.157356,Low Clearance,Low Clearance,rail over Pleasant Hill Rd,Duluth,GA,30096,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200015,Off,435,34.020308,-84.117638,Low Clearance,Low Clearance,rail over Sugarloaf Pkwy,Duluth,GA,30097,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200016,Off,435,33.697964,-84.428987,Low Clearance,Low Clearance,rail over Arthur B. Langford Jr Pkwy,East Point,GA,30344,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200017,Off,435,33.667116,-84.428407,Low Clearance,Low Clearance,rail over Norman Berry Dr,East Point,GA,30344,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200018,Off,435,33.328299,-83.387921,Low Clearance,Low Clearance,rail over Willie Bailey St,Eatonton,GA,31024,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200019,Off,435,34.110004,-82.860746,Low Clearance,Low Clearance,rail over Martin Luther King Jr Blvd,Elberton,GA,30635,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200020,Off,435,33.631683,-84.388305,Low Clearance,Low Clearance,rail over I-285,Forest Park,GA,30297,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200021,Off,435,34.314982,-83.793203,Low Clearance,Low Clearance,rail over Jesse Jewell Pkwy SE,Gainesville,GA,30501,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200022,Off,435,33.664555,-84.42026,Low Clearance,Low Clearance,rail over I-85,Hapeville,GA,30354,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200023,Off,435,33.07229,-83.781289,Low Clearance,Low Clearance,rail over 87\/U.S. 23,Juliette,GA,31046,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200024,Off,435,32.617207,-84.472142,Low Clearance,Low Clearance,rail over Rock Church Rd,Junction City,GA,31812,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200025,Off,435,33.983188,-84.606798,Low Clearance,Low Clearance,rail over Ernest W Barrett Pkwy NW,Kennesaw,GA,30152,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200026,Off,435,33.031608,-85.0461,Low Clearance,Low Clearance,rail over Forrest Ave,LaGrange,GA,30240,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200027,Off,435,33.030056,-85.084811,Low Clearance,Low Clearance,rail over Pegasus Pkwy,LaGrange,GA,30240,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200028,Off,435,34.447384,-83.121025,Low Clearance,Low Clearance,rail over Georgia 403,Lavonia,GA,30553,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
