,Latitude,Longitude,Comments,Name,Cat,Address,City,St,Zip
0,34.983726000000004,-86.851996,Height not marked but it is believed to be 11 ft (136),Low Clearance,LC11,Highway 53,Ardmore,AL,35739
1,34.992213,-86.84716800000001,13 - 6 height clearance,Low Clearance,LC13,"Old US 31, Hwy 7 near junction with 53",Ardmore,AL,38449
2,34.797197,-86.970228,10 - 0 height clearance (136),Low Clearance,LC10,315 E Forrest St,Athens,AL,35611
3,34.018626,-86.085077,13 - 7 height clearance,Low Clearance,LC13,200-208 Cleveland Ave,Attalla,AL,35954
4,34.02112,-86.08751,13 - 8 height clearance,Low Clearance,LC13,5th Ave NW,Attalla,AL,35954
5,34.021138,-86.087532,14 - 1 height clearance,Low Clearance,LC14,125-213 Alabama 1,Attalla,AL,35954
6,33.404140999999996,-86.94768499999999,10 - 0 height clearance (136),Low Clearance,LC10,1-5 22nd St N,Bessemer,AL,35020
7,33.498408000000005,-86.818729,13 - 8 height clearance,Low Clearance,LC13,600-698 6th Ave S,Birmingham,AL,35233
8,33.526227,-86.791145,13 - 9 height clearance,Low Clearance,LC13,3228-3298 Messer Airport Hwy,Birmingham,AL,35222
9,33.533206,-86.755713,13 - 7 height clearance,Low Clearance,LC13,5156 5th Ave S,Birmingham,AL,35212
10,33.536004,-86.807014,13 - 7 height clearance,Low Clearance,LC13,2629-2719 15th Ave N,Birmingham,AL,35234
11,33.536026,-86.807005,13 - 7 height clearance,Low Clearance,LC13,2700-2718 15th Ave N,Birmingham,AL,35234
12,33.537586,-86.752312,13 - 3 height clearance (136),Low Clearance,LC13,5401-5499 1st Ave S,Birmingham,AL,35212
13,33.496584000000006,-86.839576,13 - 6  height clearance,Low Clearance,LC13,931-999 Montevallo Rd SW,Birminghan,AL,35211
14,33.509161,-86.813139,13 - 8  height clearance,Low Clearance,LC13,10 14th St S,Birminghan,AL,35233
15,33.511790999999995,-86.807662,12 - 10 height clearance (136),Low Clearance,LC12,18th St N,Birminghan,AL,35203
16,33.512508000000004,-86.806203,14 - 1 height clearance,Low Clearance,LC14,90 19th St N,Birminghan,AL,35203
17,33.513086,-86.80476,13 - 4 height clearance (136),Low Clearance,LC13,1931 20th St N,Birminghan,AL,35234
18,33.526196,-86.79114799999999,13 - 9 height clearance,Low Clearance,LC13,3251-3299 Messer Airport Hwy,Birminghan,AL,35222
19,33.537828999999995,-86.752206,13 - 3 height clearance (136),Low Clearance,LC13,5412-5498 1st Ave S,Birminghan,AL,35212
20,33.538064,-86.751561,13 - 3 height clearance (136),Low Clearance,LC13,1 55th St S,Birminghan,AL,35212
21,34.938072,-85.747757,8 - 1 height clearance (136),Low Clearance,LC8,6273-6299 County Road 75,Bridgeport,AL,35740
22,34.947323,-85.71284200000001,10 - 6 height clearance (136),Low Clearance,LC10,Kilpatrick Row,Bridgeport,AL,35740
23,33.346979,-86.63934300000001,13 - 6 height clearance,Low Clearance,LC13,10472-10882 Co Road 280,Chelsea,AL,35043
24,33.276052,-86.350246,8 - 0 height clearance (136),Low Clearance,LC8,303 4th St SE,Childersburg,AL,35044
25,33.278743,-86.352961,14 - 0 height clearance,Low Clearance,LC14,501-599 1st St SW,Childersburg,AL,35044
26,33.784581,-87.20787299999999,8 - 0 height clearance (136),Low Clearance,LC8,7872-7942 Whitehouse Rd,Cordova,AL,35550
27,34.145602000000004,-86.83074,9 - 8 height clearance (136),Low Clearance,LC9,2010 Beech Ave SE,Cullman,AL,35055
28,34.155072,-86.832798,8 - 0 height clearance (136),Low Clearance,LC8,Sheraton Rd SE,Cullman,AL,35055
29,34.611655999999996,-86.988661,10 - 8 height clearance (136),Low Clearance,LC10,2-98 Finley Dr NW,Decatur,AL,35601
30,32.52095,-87.828942,7 - 0 height clearance (136),Low Clearance,LC7,500-598 River Rd,Demopolis,AL,36732
31,33.73207,-87.103166,8 - 0 height clearance (136),Low Clearance,LC8,880 Commerce Ave,Dora,AL,35062
32,31.310709000000003,-85.850894,14 - 0 height clearance,Low Clearance,LC14,S Main St\/134,Enterprise,AL,36330
33,34.85102,-87.5705,bridge replaced with new one next to it - 12 - 1 height clearance (136),Low Clearance,LC12,Florence Blvd,Florence,AL,35630
34,32.549556,-87.830642,8 - 0 height clearance (136),Low Clearance,LC8,Co Road 18,Forkland,AL,36740
35,34.009452,-85.993284,14 - 6 height clearance,Low Clearance,LC14,101-103 N Hood Ave,Gadsden,AL,35903
36,33.323592,-87.910262,13 - 6 height clearance,Low Clearance,LC13,Hwy 6\/82,Gordo,AL,35466
37,31.82954,-86.6279,10 - 6 height clearance (136),Low Clearance,LC10,W Commerce St,Greenville,AL,36037
38,34.207874,-87.631328,15 - 2 height clearance,Low Clearance,LC15,Alabama 129,Haleyville,AL,35565
39,34.233788,-87.633696,16 - 3 height clearance,Low Clearance,LC15,Campbell Rd,Haleyville,AL,35565
40,34.01252,-86.74760400000001,11 - 0 height clearance (136),Low Clearance,LC11,3rd St SE,Hanceville,AL,35077
41,34.398196999999996,-86.912842,10 height clearance (136),Low Clearance,LC10,Townsend Rd,Hartselle,AL,35640
42,33.88971,-86.75992,"Had it as 10-1 but reported as higher than 13-6 and no signage, 10 - 1 height clearance (136)",Low Clearance,LC10,Hwy 160,Hayden,AL,35079
43,33.925619,-86.77598,10 - 0 height clearance (136),Low Clearance,LC10,CR 7,Hayden,AL,35079
44,33.544714,-86.535829,8 - 0 height clearance (136),Low Clearance,LC8,11th St NE,Leeds,AL,35094
45,33.548425,-86.543814,14 - 0 height clearance,Low Clearance,LC14,399 Ashville Rd,Leeds,AL,35094
46,33.555053,-86.57206,15 height clearance,Low Clearance,LC15,Interstate 20,Leeds,AL,35094
47,33.60427,-86.1945,15 - 3 height clearance in center with 13 - 2 side angle bars,Low Clearance,LC15,Al 4 -US 8,Lincoln,AL,35096
48,32.583084,-88.184186,15 - 7 height clearance,Low Clearance,LC15,Alabama 28,Livingston,AL,35470
49,30.693051,-88.03097,12 - 0 height clearance (136),Low Clearance,LC12,Hwy 90 Tunnel,Mobile,AL,36603
50,30.695959999999996,-88.11267,14 - 0 height clearance,Low Clearance,LC14,Old Shell Rd,Mobile,AL,36603
51,32.358886,-86.33506700000001,16 - 0 height clearance,Low Clearance,LC15,1499 Terminal Rd,Montgomery,AL,36108
52,33.714898,-86.73905,14 - 3 height clearance,Low Clearance,LC14,County Road 121,Morris,AL,35116
53,33.757931,-86.75313,9 - 6 height clearance (136),Low Clearance,LC9,2155 Creel Rd,Morris,AL,35116
54,34.087759999999996,-87.601236,14 - 10 height clearance,Low Clearance,LC14,U.S. 278,Natural Bridge,AL,35577
55,33.971021,-86.518348,10 - 0 height clearance (136),Low Clearance,LC10,Easley Bridge Rd,Oneonta,AL,35121
56,34.00742,-86.44881,8 - 6 height clearance (136),Low Clearance,LC8,I-99 Covered Bridge Cir,Oneonta,AL,35121
57,32.62673,-85.3714,14 - 0 height clearance,Low Clearance,LC14,Marvyn Pkwy\/51,Opelika,AL,36804
58,32.643359999999994,-85.386084,10 - 1 height clearance (136),Low Clearance,LC10,1-99 14th St N,Opelika,AL,36801
59,32.654214,-85.429663,8 - 0 height clearance (136),Low Clearance,LC8,3189-3599 Waverly Pkwy,Opelika,AL,36801
60,31.47304,-85.659371,8 - 0 height clearance (136),Low Clearance,LC8,382 Jodie Parker Rd,Ozark,AL,36360
61,33.592368,-86.398341,8 - 0 height clearance (136),Low Clearance,LC8,49 Cook Springs Rd,Pell City,AL,35128
62,32.477308,-84.998559,8 - 0 height clearance (136),Low Clearance,LC8,1803 4th Ave,Phenix City,AL,36867
63,32.477348,-84.99685799999999,8 - 0 height clearance (136),Low Clearance,LC8,404 2nd Ave,Phenix City,AL,36867
64,33.603035,-86.195588,14 - 0 height clearance,Low Clearance,LC14,Hwy 4\/78,Riverside,AL,35135
65,34.594856,-86.057277,16 - 1 height clearance,Low Clearance,LC15,Goosepond Dr,Scottsboro,AL,35769
66,32.29444,-85.17875,13 - 1 height clearance (136),Low Clearance,LC13,Carver Rd\/30 under Hwy 431,Seale,AL,36875
67,30.66657,-87.91688,13 - 6 height clearance,Low Clearance,LC13,Spanish Fort Blvd\/31\/3,Spanish Fort,AL,36527
68,30.6781,-87.98661,13 - 6 height clearance,Low Clearance,LC13,Battleship Pkwy,Spanish Fort,AL,36527
69,33.22703,-87.508562,13 - 8 height clearance,Low Clearance,LC13,220 25th Ave E,Tuscaloosa,AL,35404
70,34.713705,-87.63481800000001,16 - 0 height clearance,Low Clearance,LC15,4893-4895 S Wilson Dam Hwy,Tuscumbia,AL,35674
71,33.37149,-86.40262,10 - 10 height clearance (136),Low Clearance,LC10,CR 62,Vincent,AL,35178
72,33.384689,-86.41194300000001,14 - 3 height clearance,Low Clearance,LC14,42671-42683 Alabama 53,Vincent,AL,35178
73,33.78454,-86.74916,8 - 6 height clearance (136),Low Clearance,LC8,CR 152,Warrior,AL,35180
74,32.538674,-86.20715799999999,12 - 6 height clearance (136),Low Clearance,LC12,W Bridge St,Wetumpka,AL,36092
