,Longitude,Latitude,State,Roadway,Direction,Name,Mile Marker,Restrooms,Restrooms(Vault Toilet),Restrooms(Portapotties),Picnic Tables,Vending Machines,Pet Walking Area,Handicapped Facilities,RV Dump,Restaurant,Gas,Scenic View
0,-147.814902,61.800549,AK,AK-1,EB/WB,MATANUSKA GLACIER STATE REC PARK REST AREA,MM101,True,False,False,True,False,True,True,False,False,False,True
1,-87.4185,30.575840000000003,AL,I-10,WB,BALDWIN COUNTY WELCOME CENTER, MM65.8,True,False,False,True,True,True,True,False,False,False,False
2,-88.39303199999999,30.477238,AL,I-10,EB,GRAND BAY WELCOME CENTER, MM0.45,True,False,False,True,True,True,True,True,False,False,False
3,-85.369424,33.667729,AL,I-20,WB,CLEBURNE WELCOME CENTER, MM213,True,False,False,True,True,True,True,False,False,False,False
4,-86.309572,33.850691999999995,AL,I-59,NB,ST CLAIR COUNTY REST AREA, MM164,True,False,False,True,True,True,True,True,False,False,False
5,-86.26854,33.874538,AL,I-59,SB,ST CLAIR COUNTY REST AREA, MM167,True,False,False,True,True,True,True,True,False,False,False
6,-85.557909,34.709337,AL,I-59,SB,DEKALB COUNTY WELCOME CENTER, MM241,True,False,False,True,True,True,True,True,False,False,False
7,-88.401527,32.449365,AL,I-59/20,NB,SUMTER COUNTY WELCOME CENTER, MM0.1,True,False,False,True,True,True,True,True,False,False,False
8,-87.959059,32.841501,AL,I-59/20,NB,GREENE COUNTY REST AREA, MM38,True,False,False,True,True,True,True,True,False,False,False
9,-87.327741,33.188344,AL,I-59/20,NB,TUSCALOOSA COUNTY REST AREA, MM85,True,False,False,True,True,True,True,True,False,False,False
10,-87.93813399999999,32.858956,AL,I-59/20,SB,GREENE COUNTY REST AREA, MM39,True,False,False,True,True,True,True,True,False,False,False
11,-87.319811,33.190905,AL,I-59/20,SB,TUSCALOOSA COUNTY REST AREA, MM85,True,False,False,True,True,True,True,True,False,False,False
12,-86.866031,34.071669,AL,I-65,NB,CULLMAN COUNTY REST AREA, MM300,True,False,False,True,True,True,True,True,False,False,False
13,-86.63306800000001,32.902094,AL,I-65,NB,CHILTON COUNTY REST AREA, MM213,True,False,False,True,True,True,True,True,False,False,False
14,-86.610235,31.881885999999998,AL,I-65,NB,BUTLER COUNTY REST AREA, MM133,True,False,False,True,True,True,True,True,False,False,False
15,-87.113734,31.336915,AL,I-65,NB,CONECUH COUNTY REST AREA, MM84,True,False,False,True,True,True,True,True,False,False,False
16,-86.890553,34.956755,AL,I-65,SB,ARDMORE WELCOME CENTER CENTER, MM364,True,False,False,True,True,True,True,True,False,False,False
17,-86.86665500000001,34.079928,AL,I-65,SB,CULLMAN COUNTY REST AREA, MM300,True,False,False,True,True,True,True,True,False,False,False
18,-86.63901899999999,32.909824,AL,I-65,SB,CHILTON COUNTY REST AREA, MM213,True,False,False,True,True,True,True,True,False,False,False
19,-86.608385,31.885525,AL,I-65,SB,BUTLER COUNTY REST AREA, MM133,True,False,False,True,True,True,True,True,False,False,False
20,-87.047289,31.374923,AL,I-65,SB,CONECUH COUNTY REST AREA, MM89,True,False,False,True,True,True,True,True,False,False,False
21,-85.617779,32.496995,AL,I-85,NB,MACON COUNTY REST AREA, MM43.6,True,False,False,True,True,True,True,True,False,False,False
22,-85.60645600000001,32.505728000000005,AL,I-85,SB,MACON COUNTY REST AREA, MM44.5,True,False,False,True,True,True,True,True,False,False,False
23,-85.193662,32.841031,AL,I-85,SB,LANETT WELCOME CENTER, MM78,True,False,False,True,True,True,True,True,False,False,False
24,-85.40756800000001,31.007808,AL,US-231,NB,HOUSTON COUNTY WELCOME CENTER, MM0.7,True,False,False,True,False,True,True,False,False,False,False
25,-85.408172,31.007849,AL,US-231,SB,HOUSTON COUNTY WELCOME CENTER-LEFT EXIT, MM0.7,True,False,False,True,False,True,True,False,False,False,False
26,-85.583124,31.390784000000004,AL,US-231,SB,DALE COUNTY REST AREA, MM37.8,True,False,False,True,False,True,True,False,False,False,False
27,-85.581593,31.390019,AL,US-231,NB,DALE COUNTY REST AREA-LEFT EXIT, MM37.7,True,False,False,True,False,True,True,False,False,False,False
28,-86.29611899999999,31.090612,AL,US-331,NB,COVINGTON COUNTY REST AREA, MM8,True,False,False,True,True,True,True,False,False,False,False
29,-86.29521700000001,31.093259999999997,AL,US-331,SB,COVINGTON COUNTY REST AREA-LEFT EXIT, MM8.1,True,False,False,True,True,True,True,False,False,False,False
30,-85.175733,31.781335,AL,US-431,NB,BARBOUR COUNTY REST AREA-LEFT EXIT, MM58.7,True,False,False,True,False,True,True,True,False,False,False
31,-85.175622,31.781558,AL,US-431,SB,BARBOUR COUNTY REST AREA, MM58.8,True,False,False,True,False,True,True,True,False,False,False
32,-86.885931,32.776324,AL,US-82,WB,CHILTON COUNTY REST AREA, MM105.3,True,False,False,True,True,True,True,True,False,False,False
33,-86.88924899999999,32.778364,AL,US-82,EB,CHILTON COUNTY REST AREA-LEFT EXIT, MM105.3,True,False,False,True,True,True,True,True,False,False,False
34,-93.938549,33.516077,AR,I-30,EB,TEXARKANA WELCOME CENTER, MM7.2,True,False,False,True,True,True,True,False,False,False,False
35,-93.263439,33.92752,AR,I-30,EB,GURDON REST AREA, MM48,True,False,False,True,True,True,True,False,False,False,False
36,-92.893597,34.349389,AR,I-30,EB,SOCIAL SPRINGS REST AREA, MM92,True,False,False,True,True,True,True,False,False,False,False
37,-93.24643499999999,33.941061,AR,I-30,WB,GURDON REST AREA, MM57,True,False,False,True,True,True,True,False,False,False,False
38,-92.89023900000001,34.353064,AR,I-30,WB,SOCIAL SPRINGS REST AREA, MM92,True,False,False,True,True,True,True,False,False,False,False
39,-93.346476,35.371105,AR,I-40,EB,BIG PINEY REST AREA, MM67.9,True,False,False,True,False,True,True,False,False,False,False
40,-93.346787,35.371495,AR,I-40,WB,WELCOME CENTER, MM274,True,False,False,True,False,True,True,False,False,False,False
41,-93.281021,35.33582,AR,I-40,WB,BIG PINEY REST AREA, MM72.3,True,False,False,True,False,True,True,False,False,False,False
42,-91.474944,34.835305,AR,I-40,EB,WHITE RIVER REST AREA, MM199,True,False,False,True,True,True,True,False,False,False,False
43,-94.401021,35.459878,AR,I-40,EB,VAN BUREN/FT SMITH WELCOME CENTER, MM2.6,True,False,False,True,True,True,True,False,False,False,False
44,-90.870575,34.997308000000004,AR,I-40,EB,FORREST CITY REST AREA, MM235,True,False,False,True,True,True,True,False,False,False,False
45,-93.85098599999999,35.521014,AR,I-40,EB,OZARK REST AREA, MM36,True,False,False,True,True,True,True,False,False,False,False
46,-91.469778,34.836917,AR,I-40,WB,WHITE RIVER REST AREA, MM199,True,False,False,True,True,True,True,False,False,False,False
47,-90.75617199999999,35.037237,AR,I-40,WB,FORREST CITY REST AREA, MM243,True,False,False,True,True,True,True,False,False,False,False
48,-93.832348,35.517471,AR,I-40,WB,OZARK REST AREA, MM36,True,False,False,True,True,True,True,False,False,False,False
49,-89.87477700000001,35.943902,AR,I-55,SB,BLYTHEVILLE WELCOME CENTER, MM4,True,False,False,True,False,True,True,False,False,False,False
50,-91.385672,33.546036,AR,US-165,SB,(NT) HARRISON REST AREA,,True,False,False,True,False,True,True,False,False,False,False
51,-91.386367,33.544731,AR,US-165,NB,(NT) HARRISON REST AREA,,True,False,False,True,False,True,True,False,False,False,False
52,-92.635067,33.18492,AR,US-167,SB,EL DORADO WELCOME CENTER LEFT EXIT-SE CORNER 82/167,,True,False,False,True,False,True,True,False,False,False,False
53,-92.635113,33.183328,AR,US-167,NB,EL DORADO WELCOME CENTER NB-SE CORNER 82/167,,True,False,False,True,False,True,True,False,False,False,False
54,-91.606144,35.614813,AR,US-167,SB,REST AREA, MM8,True,False,False,True,False,True,True,False,False,False,False
55,-91.606551,35.613069,AR,US-167,NB,REST AREA LEFT EXIT, MM8,True,False,False,True,False,True,True,False,False,False,False
56,-94.562489,36.176207,AR,US-412,EB,SILOAM SPRINGS WELCOME CENTER,,True,False,False,True,False,True,True,False,False,False,False
57,-94.564423,36.176407,AR,US-412,WB,SILOAM SPRINGS WELCOME CENTER,,True,False,False,True,False,True,True,False,False,False,False
58,-90.604826,34.503079,AR,US-49,WB,HELENA WELCOME CENTER, MM28,True,False,False,True,False,True,True,False,False,False,False
59,-90.605665,34.502639,AR,US-49,EB,HELENA WELCOME CENTER, MM28,True,False,False,True,False,True,True,False,False,False,False
60,-91.536011,36.49592,AR,US-63,NB/SB,MAMMOTH SPRING WELCOME CENTER,,True,False,False,True,False,True,True,False,False,False,False
61,-91.151814,36.123427,AR,US-63/412,SB/EB,BLACK ROCK REST AREA,,True,False,False,True,True,True,True,False,False,False,False
62,-91.150625,36.122531,AR,US-63/412,NB/WB,BLACK ROCK REST AREA LEFT EXIT,,True,False,False,True,True,True,True,False,False,False,False
63,-91.38257800000001,33.546892,AR,US-65,SB,(NT) HARRISON WELCOME CENTER, MM16.9,True,False,False,True,False,True,True,False,False,False,False
64,-91.381652,33.545442,AR,US-65,NB,(NT) HARRISON WELCOME CENTER LEFT EXIT, MM16.9,True,False,False,True,False,True,True,False,False,False,False
65,-91.278204,33.300053999999996,AR,US-65,NB,LAKE VILLAGE WELCOME CENTER,,True,False,False,True,False,True,True,False,False,False,False
66,-91.279762,33.301079,AR,US-65,SB,LAKE VILLAGE WELCOME CENTER,,True,False,False,True,False,True,True,False,False,False,False
67,-90.546719,36.483517,AR,US-67,SB,CORNING WELCOME CENTER, MM7.2,True,False,False,True,False,True,True,False,False,False,False
68,-90.547822,36.482633,AR,US-67,NB,CORNING WELCOME CENTER LEFT EXIT, MM7.2,True,False,False,True,False,True,True,False,False,False,False
69,-92.898275,34.536296,AR,US-70,EB,GLENWOOD REST AREA,,True,False,False,True,False,True,True,False,False,False,False
70,-92.89665,34.537019,AR,US-70,WB,GLENWOOD REST AREA LEFT EXIT,,True,False,False,True,False,True,True,False,False,False,False
71,-94.120502,35.025631,AR,US-71,NB,WALDRON REST AREA,,True,False,False,True,False,True,True,False,False,False,False
72,-94.12154100000001,35.028242,AR,US-71,SB,WALDRON REST AREA LEFT EXIT,,True,False,False,True,False,True,True,False,False,False,False
73,-94.233073,36.43197,AR,US-71,SB,BENTONVILLE WELCOME CENTER,,True,False,False,True,False,True,True,False,False,False,False
74,-94.232359,36.431956,AR,US-71,NB,BENTONVILLE WELCOME CENTER LEFT EXIT,,True,False,False,True,False,True,True,False,False,False,False
75,-94.042874,33.542972999999996,AR,US-71,NB,RED RIVER WELCOME CENTER LEFT EXIT, MM8.3,True,False,False,True,False,True,True,False,False,False,False
76,-94.043787,33.547993,AR,US-71,SB,RED RIVER WELCOME CENTER LEFT EXIT, MM8.3,True,False,False,True,False,True,True,False,False,False,False
77,-92.198412,34.058554,AR,US-79,NB,RISON REST AREA,,True,False,False,True,False,True,True,False,False,False,False
78,-92.198454,34.061002,AR,US-79,SB,RISON REST AREA LEFT EXIT,,True,False,False,True,False,True,True,False,False,False,False
79,-92.632524,33.187587,AR,US-82,WB,EL DORADO WELCOME CENTER FOLLOW SIGNS,,True,False,False,True,False,True,True,False,False,False,False
80,-92.637937,33.185567,AR,US-82,EB,EL DORADO WELCOME CENTER FOLLOW SIGNS,,True,False,False,True,False,True,True,False,False,False,False
81,-114.456597,33.617614,AZ,I-10,EB,EHRENBERG REST AREA, MM5,True,False,False,True,True,True,True,False,False,False,False
82,-114.44373799999998,33.621743,AZ,I-10,WB,EHRENBERG REST AREA, MM5,True,False,False,True,True,True,True,False,False,False,False
83,-113.650444,33.613287,AZ,I-10,EB,BOUSE WASH REST AREA, MM53,True,False,False,True,True,True,True,False,False,False,False
84,-113.639995,33.612353000000006,AZ,I-10,WB,BOUSE WASH REST AREA, MM53,True,False,False,True,True,True,True,False,False,False,False
85,-113.075053,33.521172,AZ,I-10,EB,BURNT WELL REST AREA, MM86,True,False,False,True,True,True,True,False,False,False,False
86,-113.06278799999998,33.519759,AZ,I-10,WB,BURNT WELL REST AREA, MM86,True,False,False,True,True,True,True,False,False,False,False
87,-111.78659499999999,33.045287,AZ,I-10,EB,SACATON REST AREA, MM182,True,False,False,True,True,True,True,False,False,False,False
88,-111.769622,33.024532,AZ,I-10,WB,SACATON REST AREA, MM182,True,False,False,True,True,True,True,False,False,False,False
89,-110.07995700000001,32.056886999999996,AZ,I-10,EB,TEXAS CANYON REST AREA, MM320,True,False,False,True,True,True,True,False,False,False,False
90,-110.07501200000002,32.062734999999996,AZ,I-10,WB,TEXAS CANYON REST AREA, MM320,True,False,False,True,True,True,True,False,False,False,False
91,-109.09359099999999,32.237604,AZ,I-10,EB,SAN SIMON REST AREA, MM388,True,False,False,True,True,True,True,False,False,False,False
92,-109.08358799999999,32.237747,AZ,I-10,WB,SAN SIMON REST AREA, MM388,True,False,False,True,True,True,True,False,False,False,False
93,-111.77747099999999,34.670907,AZ,I-17,NB,McGUIREVILLE REST AREA, MM297,True,False,False,True,True,True,True,False,False,False,False
