Longitude,Latitude,Dump Site Name,State/Province
-114.609141,49.630588,Coleman Travel Alberta Visitor Information Centre,AB
-113.570425,53.644054000000004,St Albert,AB
-114.49079499999999,51.543993,Cremona,AB
-115.36668,51.106145,Canmore good Visitor Center,AB
-114.78396799999999,55.271407999999994,Slave Lake Canadian Tire,AB
-114.012643,51.067515,good CALGARY Dump Station at GAS shell,AB
-97.09751800000001,49.797496,good WINNIPEG Dump Station,AB
-97.105492,49.950854,Winnipeg,AB
-115.55451399999998,51.192258,good BANF DUMP water,AB
-110.04121699999999,49.943946999999994,Walsh Visitor center,AB
-110.685282,50.011576,? Tourist info Medecine hat,AB
-115.26360600000001,51.039539000000005,good GAS DUMP,AB
-112.16756799999999,50.681486,REST AREA DUMP,AB
-113.91193700000001,49.046382,Waterton RV Dump,AB
-112.08031899999999,49.142158,Milk River Tourist Info Center,AB
-112.105919,50.069922999999996,Vauxhall,AB
-111.88323899999999,50.559377000000005,Brooks Kinsmen Hall,AB
-111.90278300000001,50.731066,Duchess,AB
-113.875496,50.578520000000005,High River George Lane Memorial Park,AB
-110.48542900000001,51.350274,Oyen,AB
-114.490674,49.635694,Coleman,AB
-72.20008399999999,48.881847,Dolbeau,QC
-72.661339,46.302608,Pointe-du-Lac,QC
-72.42884000000001,46.21348,Saint-Célestin,QC
-113.957458,52.027573,Innisfail Information,AB
-117.299952,56.240382999999994,Peace River,AB
-119.43911399999999,46.380078000000005,West Richland,WA
-71.19553,46.598882,Ultramar,QC
-113.790322,52.312001,Reddeer,AB
-111.313096,34.24053,Payson,AZ
-110.046695,34.247807,Show Low,AZ
-115.68598600000001,54.138952,Whitecourt,AB
-112.527022,37.04313,Kanab,UT
-112.163358,43.373631,Shelley,ID
-112.15850400000001,37.668114,BRICE before campground,UT
-114.13568899999999,51.661457,Didsbury Memorial Complex Arena,AB
-114.03762900000001,51.422033,Crossfield,AB
-114.004003,51.375133,Rest STOP Hwy-2,AB
-114.073049,52.315895000000005,Sylvan Lake,AB
-110.86973400000001,52.842726,Wainwright,AB
-113.726569,53.344483999999994,Devon,AB
-114.993255,53.206779000000004,Drayton Valley,AB
-114.992903,53.220026000000004,Drayton Valley,AB
-113.49741599999999,53.412969,Edmonton Information Centre,AB
-118.79526299999999,55.133511,Grande Prairie,AB
-116.57646299999999,53.576463000000004,Edson Rest Area,AB
-112.976492,52.586389000000004,Bashaw,AB
-113.210641,53.694630000000004,Fort Saskatchewan Canadian Tire,AB
-113.19561100000001,53.706225,Fort Saskatchewan,AB
-113.05943400000001,53.197086999999996,Hay Lakes,AB
-117.55435,53.40793299999999,Hinton Esso,AB
-118.814935,55.180189,Grande Prairie,AB
-113.86069199999999,52.142212,Penhold,AB
-114.915544,52.380618,Rocky Mountain House Visitor Center,AB
-117.623314,53.385091,Hinton Canadian Tire,AB
-113.939378,52.021759,Innisfail,AB
-113.46803200000001,53.090988,Millet,AB
-113.26945,54.727465,Arthabasca (at the end),AB
-113.521919,53.318344999999994,Bulk Water,AB
-113.65326100000001,53.801148,Morinville,AB
-113.638571,53.625979,St. Albert,AB
-111.23176200000002,52.91804499999999,Irma,AB
-118.080059,52.872229000000004,Jasper inside Industrial Park,AB
-115.024551,51.047532000000004,Kananaskis Visitor Center,AB
-111.351049,56.678414000000004,Fort McMurray Visitor Information Centre,AB
-114.631107,50.911733,lbow Valley Visitor Information Centre,AB
-113.549871,53.278004,Leduc Regional Chamber Of Commerce,AB
-112.80015300000001,49.669252,Lethbridge,AB
-113.506704,51.497668,Acme,AB
-114.016741,51.297139,Airdrie,AB
-114.401377,54.136635999999996,Barrhead,AB
-113.795892,52.381943,Blackfalds,AB
-117.195774,55.72432,Falher,AB
-112.806399,54.592601,Boyle,AB
-114.56098100000001,50.952277,Bragg Creek,AB
-114.67823899999999,50.889826,Bragg Creek,AB
-112.04208600000001,53.17309300000001,Bruce,AB
-111.519525,50.762344,Dinosaur Provincial Park,AB
-116.44328,53.576519999999995,Edson,AB
-113.052467,49.887357,Nobleford,AB
-151.52921899999998,59.642362,Homer,AK
-85.369424,33.667729,I-20 CLEBURNE COUNTY WELCOME CENTER WB,AL
-86.309572,33.850691999999995,I-59 ST CLAIR COUNTY REST AREA NB,AL
-86.26854,33.874538,I-59 ST CLAIR COUNTY REST AREA SB,AL
-85.557909,34.709337,I-59 DEKALB COUNTY WELCOME CENTER SB,AL
-88.401527,32.449365,I-59/20 SUMTER COUNTY WELCOME CENTER NB,AL
-87.959059,32.841501,I-59/20 GREENE COUNTY REST AREA NB,AL
-87.93813399999999,32.858956,I-59/20 GREENE COUNTY REST AREA SB,AL
-87.323996,33.189983000000005,I-59/20 TUSCALOOSA COUNTY REST AREA NB SB,AL
-87.113734,31.336915,I-65 CONECUH COUNTY REST AREA NB,AL
-86.890553,34.956755,I-65 ARDMORE WELCOME CENTER CENTER SB,AL
-86.866339,34.074861999999996,I-65 CULLMAN COUNTY REST AREA NB SB,AL
-86.63578199999999,32.905588,I-65 CHILTON COUNTY REST AREA NB SB,AL
-86.60923000000001,31.883799,I-65 BUTLER COUNTY REST AREA NB SB,AL
-87.047289,31.374923,I-65 CONECUH COUNTY REST AREA SB,AL
-85.617779,32.496995,I-85 MACON COUNTY REST AREA NB,AL
-85.60645600000001,32.505728000000005,I-85 MACON COUNTY REST AREA SB,AL
-85.193662,32.841031,I-85 LANETT WELCOME CENTER SB,AL
-85.40746700000001,31.007931,US-231 Alabama Welcome Center NB,AL
-85.175546,31.782868,US-431 BARBOUR COUNTY REST AREA NB SB,AL
-86.887597,32.777729,US-82 Rest Area NB SB,AL
-88.39227,30.477504999999997,I-10 Welcome Center Grand Bay,AL
-87.708114,30.534876,Robertsdale,AL
-93.60668000000001,33.658443,Hope,AR
-111.46003700000001,36.920045,PAGE Public RV Dump Station,AZ
-111.62305,35.192440999999995,Flagstaff,AZ
-111.483097,36.904247999999995,PAGE Car Wash Public Dump ? middle of concrete,AZ
-109.560884,31.346587,Douglas,AZ
-112.43245900000001,34.569879,Prescott wastewater treatment plant,AZ
-91.995467,34.221228,Pine Bluff Convention Center,AZ
-112.12186200000001,36.051072999999995,Grand Canyon Village,AZ
-116.9701,51.311465000000005,GOLDEN Husky truck stop DUMP waterfree with gas,BC
-116.95181000000001,51.297092,Golden,BC
-119.635071,49.828163,KELONA DUMP in back Shell,BC
-119.42741200000002,49.88335,KELONA DUMP water Canadian Tire,BC
-120.822483,56.229997,Fort St. John,BC
-117.651292,49.295927,Castlegar,BC
-122.433209,49.079069,Abbotsford Bradner rest area,BC
-124.055481,49.238914,VANCOUVER ISLAND DUMP GAS behind Mid Island Co-op,BC
-124.805549,49.240039,VANCOUVER ISLAND DUMP,BC
-118.21321699999999,51.008886,good water municipal Public RV Dump Revelstoke,BC
-119.27098600000001,50.285392,Vernon (Buy Gas),BC
-127.593304,55.247642000000006,New Hazelton,BC
-128.583267,54.512530000000005,Terrace,BC
-119.603624,49.490964,Penticton Canadian Tire,BC
-121.99426499999998,49.144889,Chilliwack,BC
-124.983172,49.677981,Courtenay,BC
-120.222371,55.741162,Dawson Creek Canadian Tire,BC
-124.783924,49.265028,Port Alberni Canadian Tire,BC
-127.15446399999999,54.773621999999996,Smithers Canadian Tire,BC
-111.55327,37.016493,Lake Powell free with pass,AZ
-125.024297,49.625331,Cumberland,BC
-115.05461499999998,49.524985,Fernie,BC
-126.045795,49.782257,Gold River,BC
-121.29348200000001,51.648601,100 Mile House,BC
-122.717008,58.804641000000004,Fort Nelson,BC
-124.841082,54.055627,Fraser Lake,BC
-123.52030500000001,49.407194,Gibsons,BC
-118.46044099999999,49.02667,Grand Forks,BC
-126.64411299999999,54.40215799999999,Houston,BC
-120.119522,50.661326,Kamloops,BC
-120.357677,50.681942,Kamloops,BC
-120.36816200000001,50.654509000000004,Kamloops,BC
-120.35690100000001,50.711901,Kamloops,BC
-116.445591,51.419818,Field,BC
-117.281201,49.192916,Salmo,BC
-116.50715,49.092852,Creston,BC
-123.134441,49.736371999999996,Squamish,BC
-122.81653,53.85694300000001,Prince George (buy gas),BC
-115.74451,49.534008,Cranbrook,BC
-128.583177,54.51255,Terrace,BC
-119.81965,49.204256,Keremeos,BC
-119.49823500000001,49.038357,Keremeos,BC
-124.061646,48.818532,Lake Cowichan,BC
-120.82201699999999,50.48984,Logan Lake,BC
-123.092956,55.323999,McKenzie,BC
-120.7618,50.122026,Merritt,BC
-120.793931,50.105034,Merritt,BC
-119.498297,49.038340000000005,Osoyoos,BC
