UID,Latitude,Longitude,Name,City,St,Zip,Cat,Elev,Comments,Pin,Height
100749,34.983726000000004,-86.851996,Low Clearance,Ardmore,AL,35739,LC11,,Height not marked but it is believed to be 11 ft (136),low_11_0_pushpin,
100750,34.992213,-86.84716800000001,Low Clearance,Ardmore,AL,38449,LC13,,13 - 6 height clearance,low_13_6_pushpin,
100758,34.797197,-86.970228,Low Clearance,Athens,AL,35611,LC10,,10 - 0 height clearance (136),low_10_0_pushpin,
100770,34.018626,-86.085077,Low Clearance,Attalla,AL,35954,LC13,,13 - 7 height clearance,low_13_7_pushpin,
100771,34.02112,-86.08751,Low Clearance,Attalla,AL,35954,LC13,,13 - 8 height clearance,low_13_8_pushpin,
100772,34.021138,-86.087532,Low Clearance,Attalla,AL,35954,LC14,,14 - 1 height clearance,low_14_1_pushpin,
100783,33.404140999999996,-86.94768499999999,Low Clearance,Bessemer,AL,35020,LC10,,10 - 0 height clearance (136),low_10_0_pushpin,
100803,33.498408000000005,-86.818729,Low Clearance,Birmingham,AL,35233,LC13,,13 - 8 height clearance,low_13_8_pushpin,
100804,33.526227,-86.791145,Low Clearance,Birmingham,AL,35222,LC13,,13 - 9 height clearance,low_13_9_pushpin,
100805,33.533206,-86.755713,Low Clearance,Birmingham,AL,35212,LC13,,13 - 7 height clearance,low_13_7_pushpin,
100806,33.536004,-86.807014,Low Clearance,Birmingham,AL,35234,LC13,,13 - 7 height clearance,low_13_7_pushpin,
100807,33.536026,-86.807005,Low Clearance,Birmingham,AL,35234,LC13,,13 - 7 height clearance,low_13_7_pushpin,
100808,33.537586,-86.752312,Low Clearance,Birmingham,AL,35212,LC13,,13 - 3 height clearance (136),low_13_3_pushpin,
100828,33.496584000000006,-86.839576,Low Clearance,Birminghan,AL,35211,LC13,,13 - 6  height clearance,low_13_6_pushpin,
100829,33.509161,-86.813139,Low Clearance,Birminghan,AL,35233,LC13,,13 - 8  height clearance,low_13_8_pushpin,
100830,33.511790999999995,-86.807662,Low Clearance,Birminghan,AL,35203,LC12,,12 - 10 height clearance (136),low_12_10_pushpin,
100831,33.512508000000004,-86.806203,Low Clearance,Birminghan,AL,35203,LC14,,14 - 1 height clearance,low_14_1_pushpin,
100832,33.513086,-86.80476,Low Clearance,Birminghan,AL,35234,LC13,,13 - 4 height clearance (136),low_13_4_pushpin,
100833,33.526196,-86.79114799999999,Low Clearance,Birminghan,AL,35222,LC13,,13 - 9 height clearance,low_13_9_pushpin,
100834,33.537828999999995,-86.752206,Low Clearance,Birminghan,AL,35212,LC13,,13 - 3 height clearance (136),low_13_3_pushpin,
100835,33.538064,-86.751561,Low Clearance,Birminghan,AL,35212,LC13,,13 - 3 height clearance (136),low_13_3_pushpin,
100859,34.938072,-85.747757,Low Clearance,Bridgeport,AL,35740,LC8,,8 - 1 height clearance (136),low_8_1_pushpin,
100860,34.947323,-85.71284200000001,Low Clearance,Bridgeport,AL,35740,LC10,,10 - 6 height clearance (136),low_10_6_pushpin,
100887,33.346979,-86.63934300000001,Low Clearance,Chelsea,AL,35043,LC13,,13 - 6 height clearance,low_13_6_pushpin,
100892,33.276052,-86.350246,Low Clearance,Childersburg,AL,35044,LC8,,8 - 0 height clearance (136),low_8_0_pushpin,
100893,33.278743,-86.352961,Low Clearance,Childersburg,AL,35044,LC14,,14 - 0 height clearance,low_14_0_pushpin,
100913,33.784581,-87.20787299999999,Low Clearance,Cordova,AL,35550,LC8,,8 - 0 height clearance (136),low_8_0_pushpin,
100939,34.145602000000004,-86.83074,Low Clearance,Cullman,AL,35055,LC9,,9 - 8 height clearance (136),low_9_8_pushpin,
100940,34.155072,-86.832798,Low Clearance,Cullman,AL,35055,LC8,,8 - 0 height clearance (136),low_8_0_pushpin,
100958,34.611655999999996,-86.988661,Low Clearance,Decatur,AL,35601,LC10,,10 - 8 height clearance (136),low_10_8_pushpin,
100969,32.52095,-87.828942,Low Clearance,Demopolis,AL,36732,LC7,,7 - 0 height clearance (136),low_7_0_pushpin,
100973,33.73207,-87.103166,Low Clearance,Dora,AL,35062,LC8,,8 - 0 height clearance (136),low_8_0_pushpin,
101010,31.310709000000003,-85.850894,Low Clearance,Enterprise,AL,36330,LC14,,14 - 0 height clearance,low_14_0_pushpin,
101037,34.85102,-87.5705,Low Clearance,Florence,AL,35630,LC12,,bridge replaced with new one next to it - 12 - 1 height clearance (136),low_12_1_pushpin,
101046,32.549556,-87.830642,Low Clearance,Forkland,AL,36740,LC8,,8 - 0 height clearance (136),low_8_0_pushpin,
101055,34.009452,-85.993284,Low Clearance,Gadsden,AL,35903,LC14,,14 - 6 height clearance,low_14_6_pushpin,
101068,33.323592,-87.910262,Low Clearance,Gordo,AL,35466,LC13,,13 - 6 height clearance,low_13_6_pushpin,
101074,31.82954,-86.6279,Low Clearance,Greenville,AL,36037,LC10,,10 - 6 height clearance (136),low_10_6_pushpin,
101091,34.207874,-87.631328,Low Clearance,Haleyville,AL,35565,LC15,,15 - 2 height clearance,low_15_2_pushpin,
101092,34.233788,-87.633696,Low Clearance,Haleyville,AL,35565,LC15,,16 - 3 height clearance,low_16_3_pushpin,
101106,34.01252,-86.74760400000001,Low Clearance,Hanceville,AL,35077,LC11,,11 - 0 height clearance (136),low_11_0_pushpin,
101116,34.398196999999996,-86.912842,Low Clearance,Hartselle,AL,35640,LC10,,10 height clearance (136),low_10_0_pushpin,
101118,33.88971,-86.75992,Low Clearance,Hayden,AL,35079,LC10,,"Had it as 10-1 but reported as higher than 13-6 and no signage, 10 - 1 height clearance (136)",low_10_1_pushpin,
101119,33.925619,-86.77598,Low Clearance,Hayden,AL,35079,LC10,,10 - 0 height clearance (136),low_10_0_pushpin,
101181,33.544714,-86.535829,Low Clearance,Leeds,AL,35094,LC8,,8 - 0 height clearance (136),low_8_0_pushpin,
101182,33.548425,-86.543814,Low Clearance,Leeds,AL,35094,LC14,,14 - 0 height clearance,low_14_0_pushpin,
101183,33.555053,-86.57206,Low Clearance,Leeds,AL,35094,LC15,,15 height clearance,low_15_0_pushpin,
101189,33.60427,-86.1945,Low Clearance,Lincoln,AL,35096,LC15,,15 - 3 height clearance in center with 13 - 2 side angle bars,low_15_3_pushpin,
101197,32.583084,-88.184186,Low Clearance,Livingston,AL,35470,LC15,,15 - 7 height clearance,low_15_7_pushpin,
101239,30.693051,-88.03097,Low Clearance,Mobile,AL,36603,LC12,,12 - 0 height clearance (136),low_12_0_pushpin,
101240,30.695959999999996,-88.11267,Low Clearance,Mobile,AL,36603,LC14,,14 - 0 height clearance,low_14_0_pushpin,
101268,32.358886,-86.33506700000001,Low Clearance,Montgomery,AL,36108,LC15,,16 - 0 height clearance,low_16_0_pushpin,
101283,33.714898,-86.73905,Low Clearance,Morris,AL,35116,LC14,,14 - 3 height clearance,low_14_3_pushpin,
101284,33.757931,-86.75313,Low Clearance,Morris,AL,35116,LC9,,9 - 6 height clearance (136),low_9_6_pushpin,
101296,34.087759999999996,-87.601236,Low Clearance,Natural Bridge,AL,35577,LC14,,14 - 10 height clearance,low_14_10_pushpin,
101309,33.971021,-86.518348,Low Clearance,Oneonta,AL,35121,LC10,,10 - 0 height clearance (136),low_10_0_pushpin,
101310,34.00742,-86.44881,Low Clearance,Oneonta,AL,35121,LC8,,8 - 6 height clearance (136),low_8_6_pushpin,
101315,32.62673,-85.3714,Low Clearance,Opelika,AL,36804,LC14,,14 - 0 height clearance,low_14_0_pushpin,
101316,32.643359999999994,-85.386084,Low Clearance,Opelika,AL,36801,LC10,,10 - 1 height clearance (136),low_10_1_pushpin,
101317,32.654214,-85.429663,Low Clearance,Opelika,AL,36801,LC8,,8 - 0 height clearance (136),low_8_0_pushpin,
101339,31.47304,-85.659371,Low Clearance,Ozark,AL,36360,LC8,,8 - 0 height clearance (136),low_8_0_pushpin,
101349,33.592368,-86.398341,Low Clearance,Pell City,AL,35128,LC8,,8 - 0 height clearance (136),low_8_0_pushpin,
101356,32.477308,-84.998559,Low Clearance,Phenix City,AL,36867,LC8,,8 - 0 height clearance (136),low_8_0_pushpin,
101357,32.477348,-84.99685799999999,Low Clearance,Phenix City,AL,36867,LC8,,8 - 0 height clearance (136),low_8_0_pushpin,
101379,33.603035,-86.195588,Low Clearance,Riverside,AL,35135,LC14,,14 - 0 height clearance,low_14_0_pushpin,
101400,34.594856,-86.057277,Low Clearance,Scottsboro,AL,35769,LC15,,16 - 1 height clearance,low_16_1_pushpin,
101401,32.29444,-85.17875,Low Clearance,Seale,AL,36875,LC13,,13 - 1 height clearance (136),low_13_1_pushpin,
101420,30.66657,-87.91688,Low Clearance,Spanish Fort,AL,36527,LC13,,13 - 6 height clearance,low_13_6_pushpin,
101421,30.6781,-87.98661,Low Clearance,Spanish Fort,AL,36527,LC13,,13 - 6 height clearance,low_13_6_pushpin,
101461,33.22703,-87.508562,Low Clearance,Tuscaloosa,AL,35404,LC13,,13 - 8 height clearance,low_13_8_pushpin,
101473,34.713705,-87.63481800000001,Low Clearance,Tuscumbia,AL,35674,LC15,,16 - 0 height clearance,low_16_0_pushpin,
101488,33.37149,-86.40262,Low Clearance,Vincent,AL,35178,LC10,,10 - 10 height clearance (136),low_10_10_pushpin,
101489,33.384689,-86.41194300000001,Low Clearance,Vincent,AL,35178,LC14,,14 - 3 height clearance,low_14_3_pushpin,
101491,33.78454,-86.74916,Low Clearance,Warrior,AL,35180,LC8,,8 - 6 height clearance (136),low_8_6_pushpin,
101500,32.538674,-86.20715799999999,Low Clearance,Wetumpka,AL,36092,LC12,,12 - 6 height clearance (136),low_12_6_pushpin,
101524,35.763795,-91.535852,Low Clearance,Batesville,AR,72501,LC12,,12 - 6 height clearance (136),low_12_6_pushpin,
101566,33.578179999999996,-92.8261,Low Clearance,Camden,AR,71701,LC10,,10 - 1 height clearance (136),low_10_1_pushpin,
101567,33.58788,-92.82704,Low Clearance,Camden,AR,71701,LC13,,13 - 10 height clearance,low_13_10_pushpin,
101568,33.606559999999995,-92.82024,Low Clearance,Camden,AR,71701,LC13,,13 - 1 height clearance (136),low_13_1_pushpin,
101575,34.688809,-91.316231,Low Clearance,Clarendon,AR,72029,LC12,,12 - 1 height clearance (136),low_12_1_pushpin,
101604,35.268240000000006,-90.47207,Low Clearance,Earle,AR,72331,LC9,,9 - 0 height clearance (136),low_9_0_pushpin,
101605,35.269459999999995,-90.46566999999999,Low Clearance,Earle,AR,72331,LC12,,12 - 1 height clearance (136),low_12_1_pushpin,
101643,33.610766,-93.815338,Low Clearance,Fulton,AR,71838,LC8,,8 - 0 height clearance (136),low_8_0_pushpin,
101644,33.613199,-93.812451,Low Clearance,Fulton,AR,71838,LC13,,13 - 8 height clearance,low_13_8_pushpin,
101646,36.490386,-93.932441,Low Clearance,Garfield,AR,72732,LC13,,13 - 10 height clearance,low_13_10_pushpin,
101647,33.369334,-93.717736,Low Clearance,Garland,AR,71839,LC13,,13 - 6 height clearance,low_13_6_pushpin,
101659,33.92202,-93.15095,Low Clearance,Gurdon,AR,71743,LC10,,10 - 6 height clearance (136),low_10_6_pushpin,
101678,34.49264,-93.04841,Low Clearance,Hot Springs,AR,71901,LC11,,11 - 6 height clearance (136),low_11_6_pushpin,
101711,34.740659,-92.295208,Low Clearance,Little Rock,AR,72201,LC11,,11 - 4 height clearance (136),low_11_4_pushpin,
101712,34.74192,-92.25778000000001,Low Clearance,Little Rock,AR,72201,LC12,,12 - 6 height clearance (136),low_12_6_pushpin,
101713,34.741997,-92.252767,Low Clearance,Little Rock,AR,72201,LC13,,13 - 6 height clearance,low_13_6_pushpin,
101714,34.745059999999995,-92.30071,Low Clearance,Little Rock,AR,72201,LC13,,13 - 5 height clearance (136),low_13_5_pushpin,
101715,34.749817,-92.27494300000001,Low Clearance,Little Rock,AR,72201,LC10,,10 - 1 height clearance (136),low_10_1_pushpin,
101757,35.153681,-92.75045,Low Clearance,Morrilton,AR,72110,LC9,,9 - 4 height clearance (136),low_9_4_pushpin,
101758,35.154771999999994,-92.753856,Low Clearance,Morrilton,AR,72110,LC13,,13 - 10 height clearance,low_13_10_pushpin,
101761,35.885512,-91.89061600000001,Low Clearance,Mountain View,AR,72560,LC13,,13 - 5 height clearance (136),low_13_5_pushpin,
101776,35.587339,-91.321836,Low Clearance,Newport,AR,72112,LC10,,10 - 6 height clearance (136),low_10_6_pushpin,
101783,34.758179999999996,-92.2792,Low Clearance,North Little Rock,AR,72114,LC12,,12 - 6 height clearance (136),low_12_6_pushpin,
101784,34.76853,-92.19941999999999,Low Clearance,North Little Rock,AR,72114,LC13,,13 - 10 height clearance,low_13_10_pushpin,
101810,35.264309999999995,-90.55385,Low Clearance,Parkin,AR,72373,LC9,,9 - 8 height clearance (136),low_9_8_pushpin,
101811,35.264509999999994,-90.55601,Low Clearance,Parkin,AR,72373,LC12,,12 - 1 height clearance (136),low_12_1_pushpin,
101812,35.264759999999995,-90.55869,Low Clearance,Parkin,AR,72373,LC11,,11 - 8 height clearance (136),low_11_8_pushpin,
101820,35.251909999999995,-93.04821,Low Clearance,Pottsville,AR,72858,LC11,,11 - 6 height clearance (136),low_11_6_pushpin,
101882,33.42096,-94.03011,Low Clearance,Texarkana,AR,71854,LC14,,14 - 1 height clearance,low_14_1_pushpin,
101883,33.47631,-93.97100999999999,Low Clearance,Texarkana,AR,71854,LC10,,10 - 10 height clearance (136),low_10_10_pushpin,
101893,35.6589,-90.49835,Low Clearance,Trumann,AR,72472,LC9,,9 - 5 height clearance (136),low_9_5_pushpin,
101894,35.67139,-90.50584,Low Clearance,Trumann,AR,72472,LC10,,10 - 5 height clearance (136),low_10_5_pushpin,
101895,35.6783,-90.51006,Low Clearance,Trumann,AR,72472,LC12,,12 - 5 height clearance (136),low_12_5_pushpin,
101897,35.36538,-90.25437,Low Clearance,Turrell,AR,72384,LC11,,11 - 6 height clearance (136),low_11_6_pushpin,
101899,35.43288,-94.35502,Low Clearance,Van Buren,AR,72956,LC12,,12 - 8 height clearance (136),low_12_8_pushpin,
101900,35.43618,-94.35477,Low Clearance,Van Buren,AR,72956,LC10,,10 - 0 height clearance (136),low_10_0_pushpin,
101901,35.43653,-94.35378,Low Clearance,Van Buren,AR,72956,LC10,,10 - 10 height clearance (136),low_10_10_pushpin,
101961,31.441105,-109.91331699999999,Low Clearance,Bisbee,AZ,85603,LC13,,13 - 5 height clearance (136),low_13_5_pushpin,
101986,32.879756,-111.762052,Low Clearance,Casa Grande,AZ,85122,LC13,,eastbound 13 - 4 height clearance (136),low_13_4_pushpin,
102100,33.401705,-110.791799,Low Clearance,Globe,AZ,85501,LC12,,12 - 6 height clearance (136),low_12_6_pushpin,
102150,34.31026,-112.56863,Low Clearance,Kirkland,AZ,86332,LC10,,10 - 5 height clearance (136),low_10_5_pushpin,
102268,33.392751000000004,-111.9686,Low Clearance,Phoenix,AZ,85042,LC15,,15 - 1 height clearance,low_15_1_pushpin,
102269,33.427305,-112.04778300000001,Low Clearance,Phoenix,AZ,85034,LC14,,14 - 0 height clearance,low_14_0_pushpin,
102270,33.44399,-112.09577,Low Clearance,Phoenix,AZ,85034,LC12,,12 - 0 height clearance (136),low_12_0_pushpin,
102271,33.444137,-112.073771,Low Clearance,Phoenix,AZ,85034,LC14,,14 - 0 height clearance,low_14_0_pushpin,
